aadA   1346596 1347384 1
talC   4323818 4324480 -1
tas    3165550 3166590 1
tatA   4180504 4180758 1
tatB   4180762 4181310 1
tatC   4181313 4182092 1
tbpA   125687 126670 -1
tcp    3744842 3746485 1
tctD   2933761 2934435 -1
tctE   2932359 2933774 -1
tdcA   3412473 3413411 -1
tdcB   3411386 3412375 -1
tdcC   3410034 3411365 -1
tdcD   3408760 3409968 -1
tdcE   3406432 3408726 -1
tdcG   3404998 3406362 -1
tdh    3902882 3903907 -1
tdk    1846003 1846620 -1
tehA   1698945 1699958 -1
tehB   1698362 1698958 -1
tesA   565854 566468 -1
tesB   522280 523140 -1
tgt    460821 461948 1
thiC   4380491 4382386 -1
thiD   2240261 2241061 -1
thiE   4379856 4380491 -1
thiF   4379105 4379863 -1
thiG   4378152 4378922 -1
thiH   4377022 4378155 -1
thiI   477868 479316 1
thiJ   486227 486817 -1
thiL   472025 473002 1
thiM   2241048 2241845 -1
thrA   337 2799 1
thrB   2801 3730 1
thrC   3734 5020 1
thrL   190 255 1
thrS   1412202 1414130 1
thyA   3158017 3158811 -1
tig    501665 502963 1
tktA   3236393 3238384 -1
tktB   2583500 2585500 1
tldD   3534350 3535795 -1
tmk    1283624 1284265 1
tnpA_1 1025166 1025624 1
tnpA_2 2045735 2046193 -1
tnpA_3 2579331 2579789 -1
tnpA_4 3194318 3194776 -1
tnpA_5 3635160 3635618 -1
tnpA_6 4559416 4559874 1
tolA   814617 815840 1
tolB   815964 817256 1
tolC   3348567 3350042 1
tolQ   813428 814120 1
tolR   814124 814552 1
tonB   1831260 1831988 -1
topA   1809792 1812389 -1
topB   1376657 1378606 1
torA   4020811 4023363 -1
torC   4023353 4024537 -1
torD   4020186 4020818 -1
torR   4024667 4025359 1
torS   4026452 4029187 1
torT   4025332 4026372 -1
tpiA   4290265 4291032 -1
tpx    1775584 1776090 1
treA   1895070 1896782 1
treC   4695100 4696752 -1
treF   3775574 3777223 1
treR   4698357 4699304 -1
trg    1715879 1717504 -1
trkA   3579771 3581147 1
trkH   4193673 4195124 1
trmA   4346636 4347736 -1
trmD   2815261 2816028 -1
trmE   4048213 4049577 1
trmU   1321589 1322740 -1
trpA   1824272 1825078 1
trpB   1823079 1824272 1
trpC   1821711 1823069 1
trpD   1820112 1821707 1
trpE   1818550 1820112 1
trpH   1817408 1818289 -1
trpL   1818411 1818455 1
trpR   4841030 4841356 1
trpS   3636247 3637251 -1
trpS2  4761826 4762839 -1
truA   2480462 2481274 -1
truB   3452044 3452988 -1
trxA   4124836 4125165 1
trxB   1035228 1036196 -1
trxC   2788654 2789073 1
tsf    255280 256131 1
tsr    4790082 4791743 1
tsx    467537 468400 -1
ttk    3925285 3925881 1
ttrA   1466355 1469417 -1
ttrB   1470433 1471185 -1
ttrC   1469410 1470432 -1
ttrR   1473102 1473722 1
ttrS   1471349 1473127 1
tufA   3598302 3599486 -1
tufB   4360603 4361787 1
tus    1545400 1546329 -1
typA   4217384 4219207 1
tyrA   2810344 2811465 -1
tyrB   4469303 4470496 1
tyrP   2030400 2031611 1
tyrR   1776180 1777721 -1
tyrS   1523487 1524761 1
ubiA   4455210 4456082 1
ubiB   4185162 4185863 1
ubiC   4454699 4455196 1
ubiE   4177291 4178046 1
ubiF   736055 737230 1
ubiG   2380316 2381044 1
ubiH   3218465 3219643 -1
ubiX   2466582 2467151 -1
ucpA   2556599 2557390 -1
udg    2157958 2159124 -1
udhA   4343980 4345380 -1
udk    2207558 2208199 -1
udp    4174864 4175625 1
ugpA   3725410 3726297 -1
ugpB   3726361 3727677 -1
ugpC   3723496 3724566 -1
ugpE   3724568 3725413 -1
ugpQ   3722759 3723499 -1
ugtL   1691246 1691644 -1
uhpA   3990554 3991144 -1
uhpB   3989052 3990554 -1
uhpC   3987714 3989042 -1
uhpT   3986180 3987571 -1
umuC   2079892 2081160 -1
umuD   2081163 2081582 -1
ung    2786608 2787297 1
upp    2612033 2612659 -1
uppS   259355 260113 1
uraA   2610656 2611945 -1
usg    2481274 2482287 -1
ushA   553634 555286 1
ushB   4274586 4275341 1
uspA   3760855 3761289 1
uspB   3760132 3760467 -1
uup    1152005 1153912 1
uvrA   4473213 4476038 -1
uvrB   864433 866454 1
uvrC   2036418 2038250 -1
uvrD   4155541 4157703 1
uvrY   2038247 2038903 -1
uxuR   4761052 4761825 1
vacB   4611064 4613502 1
vacJ   2503763 2504518 -1
valS   4717013 4719868 -1
virK   2928373 2929302 1
visC   3217137 3218339 -1
vsr    2073878 2074348 -1
wcaA   2197971 2198813 -1
wcaB   2197480 2197968 -1
wcaC   2196266 2197483 -1
wcaD   2195077 2196291 -1
wcaE   2194318 2195064 -1
wcaF   2193748 2194302 -1
wcaG   2191635 2192600 -1
wcaH   2191160 2191663 -1
wcaI   2189940 2191163 -1
wcaJ   2185572 2186966 -1
wcaK   2182659 2183939 -1
wcaL   2181442 2182662 -1
wcaM   2180028 2181431 -1
wecB   4129290 4130420 1
wecC   4130417 4131679 1
wecD   4133110 4133658 1
wecE   4133663 4134793 1
wecF   4137118 4138476 1
wecG   4138473 4139213 1
wraB   1205223 1205819 -1
wza    2201511 2202650 -1
wzb    2201056 2201505 -1
wzc    2198900 2201059 -1
wzxC   2183961 2185439 -1
wzxE   4134795 4136045 1
wzzB   2156832 2157815 -1
wzzE   4128188 4129234 1
xapA   2534858 2535691 -1
xapB   2533547 2534803 -1
xapR   2532394 2533278 -1
xerC   4153787 4154689 1
xerD   3204425 3205321 -1
xseA   2626079 2627428 1
xseB   477416 477658 -1
xthA   1380942 1381748 -1
xylA   3846467 3847789 -1
xylB   3844913 3846367 -1
xylR   3848152 3849330 1
yaaA   5114 5887 -1
yaaH   9376 9942 -1
yaaI   10841 11245 -1
yaaJ   5966 7396 -1
yaaU   92178 93518 1
yaaY   52649 52864 1
yabB   139947 140405 1
yabC   140407 141348 1
yabF   98255 98785 1
yabI   122604 123371 1
yabJ   123410 124117 -1
yabK   124101 125711 -1
yabN   126848 128506 -1
yacA   158199 158627 1
yacC   195983 196330 -1
yacE   163207 163827 -1
yacF   162464 163207 -1
yacG   162263 162454 -1
yacH   183846 185468 -1
yacL   189603 189965 1
yadB   215433 216374 -1
yadE   209795 211024 1
yadF   201410 202072 -1
yadG   202181 203107 1
yadH   203104 203874 1
yadI   209293 209733 1
yadQ   238661 240082 1
yadR   240119 240508 1
yadS   240609 241232 -1
yaeB   284296 285003 -1
yaeC   285523 286338 -1
yaeD   288244 288810 1
yaeE   286377 287030 -1
yaeH   247318 247704 -1
yaeJ   281234 281656 1
yaeL   260995 262347 1
yaeP   280294 280512 -1
yaeQ   280692 281237 1
yaeR   278219 278608 1
yaeT   262379 264793 1
yafA   363226 364470 1
yafB   295069 295872 1
yafC   295893 296807 -1
yafD   298240 299019 1
yafE   299097 299867 1
yafH   352597 355041 -1
yafJ   356072 356839 1
yafK   356810 357550 -1
yafS   302152 302874 1
yafV   351721 352488 -1
yahN   414812 415444 -1
yahO   415676 415951 1
yaiA   441417 441608 1
yaiB   437099 437365 1
yaiC   438129 439241 1
yaiE   442607 442891 1
yaiI   440205 440660 1
yaiU   425165 428101 1
yaiV   428187 428810 1
yaiW   431594 432688 1
yaiY   432726 433034 -1
yaiZ   433302 433517 1
yajB   458885 459466 -1
yajC   461971 462303 1
yajD   466561 466908 1
yajF   443966 444874 1
yajG   500119 500751 -1
yajI   468700 469239 -1
yajO   473599 474573 -1
yajQ   487799 488308 1
yajR   488355 489704 -1
yaoF   1353820 1354071 1
ybaB   542881 543210 1
ybaD   469391 469840 1
ybaE   512430 514130 -1
ybaJ   528377 528751 -1
ybaK   555403 555882 -1
ybaL   550350 552026 -1
ybaM   538935 539102 -1
ybaN   539712 540089 1
ybaO   516267 516725 1
ybaP   556084 556878 -1
ybaV   510688 511062 1
ybaW   511166 511564 1
ybaX   511670 512365 -1
ybaY   523355 523924 1
ybaZ   523957 524346 -1
ybbA   566439 567125 1
ybbB   573686 574780 -1
ybbJ   560973 561425 -1
ybbK   561422 562339 -1
ybbL   562486 563163 1
ybbM   563150 563929 1
ybbN   564015 564869 -1
ybbO   564929 565699 -1
ybbP   567122 569536 1
ybbS   574850 575776 -1
ybbV   582405 582659 1
ybbY   585378 586676 1
ybcI   601815 602360 -1
ybcJ   602488 602700 -1
ybdA   653683 654927 1
ybdB   660679 661092 1
ybdD   663443 663640 1
ybdF   637778 638146 -1
ybdG   625635 626882 -1
ybdH   663676 664764 -1
ybdJ   639363 639611 -1
ybdK   639678 640796 -1
ybdL   664891 666051 1
ybdM   666052 666669 -1
ybdN   666642 667877 -1
ybdO   668043 668945 -1
ybdQ   677372 677800 -1
ybdR   678023 679261 1
ybdZ   645247 645465 1
ybeA   703955 704422 -1
ybeB   704426 704743 -1
ybeC   694573 694776 1
ybeD   698029 698292 -1
ybeF   696033 696986 -1
ybeJ   346974 347795 1
ybeK   725558 726493 -1
ybeL   716566 717039 1
ybeM   693656 694444 1
ybeQ   717078 718073 -1
ybeR   718198 718905 1
ybeS   718902 720335 1
ybeU   720347 721042 1
ybeV   721039 722511 1
ybeX   731730 732608 -1
ybeY   732766 733239 -1
ybfA   774461 774667 1
ybfE   757809 758102 -1
ybfF   758236 759006 -1
ybfM   749534 750940 1
ybfN   750990 751322 1
ybgC   813027 813431 1
ybgE   812517 812798 1
ybgF   817825 818613 1
ybgH   776238 777719 -1
ybgI   778048 778791 1
ybgJ   778807 779463 1
ybgK   779457 780389 1
ybgL   780379 781113 1
ybgR   822017 822955 -1
ybgS   823066 823452 -1
ybgT   812267 812380 1
ybhA   848199 849017 -1
ybhB   858260 858736 -1
ybhC   850320 851603 -1
ybhE   849181 850176 1
ybhF   881958 883694 -1
ybhK   869333 870241 -1
ybhL   873389 874093 1
ybhM   874240 874947 1
ybhN   876150 877112 -1
ybhO   877112 878353 -1
ybhP   878350 879108 -1
ybhQ   879241 879651 1
ybhR   879613 880719 -1
ybhS   880835 881965 -1
ybiB   889332 890306 1
ybiF   898293 899180 -1
ybiH   884682 885356 -1
ybiI   891007 891273 -1
ybiJ   890462 890722 -1
ybiK   917149 918090 1
ybiN   891478 892404 1
ybiO   892401 894623 -1
ybiP   900112 901692 -1
ybiR   902741 903853 1
ybiS   903897 904817 -1
ybiT   905036 906628 1
ybiU   908933 910198 -1
ybiV(1) 910460 911269 1
ybiV(2) 908009 908728 -1
ybjC   945507 945797 1
ybjD   1015860 1017518 1
ybjE   1014759 1015658 -1
ybjF   953113 954243 1
ybjG   937574 938182 -1
ybjM   944665 945042 1
ybjN   947560 948036 1
ybjO   952597 953070 1
ybjP   962001 962516 -1
ybjR   1005687 1006517 1
ybjT   1007623 1009056 -1
ybjX   1017515 1018483 -1
ybjY   1018611 1019729 1
ybjZ   1019726 1021672 1
ycaD   1049608 1050756 1
ycaI   1068134 1070398 1
ycaJ   1042190 1043533 1
ycaL   1064060 1064821 1
ycaM   1050974 1052395 1
ycaO   1058700 1060460 -1
ycaP   1060597 1061289 1
ycaQ   1073201 1074433 1
ycaR   1074485 1074667 1
ycbB   1085020 1086861 1
ycbC   1076494 1077270 -1
ycbG   1160441 1160893 1
ycbK   1087121 1087669 1
ycbL   1087697 1088344 1
ycbW   1148137 1148679 1
ycbY   1149884 1151992 1
yccA   1174268 1174927 -1
yccD   1198694 1198999 -1
yccF   1165864 1166310 -1
yccJ   1204975 1205202 -1
yccK   1173852 1174181 -1
yccR   1163100 1163705 1
yccS   1163692 1165845 -1
yccT   1169077 1169739 -1
yccV   1170371 1170688 -1
yccW   1170746 1171957 -1
yccX   1173574 1173855 1
ycdC   1206508 1207146 1
ycdW   1225066 1226004 1
ycdX   1226088 1226825 1
ycdY   1226849 1227403 1
ycdZ   1227456 1227986 1
yceA   1243756 1244808 1
yceB   1249666 1250226 -1
yceD   1275273 1275794 1
yceE   1241247 1242461 -1
yceF   1274491 1275075 -1
yceG   1282612 1283634 1
yceH   1253127 1253774 1
yceI   1244860 1245435 -1
yceK   1240563 1240790 1
yceL   1251062 1252270 -1
yceO   1246267 1246380 -1
yceP   1247652 1247906 -1
ycfC   1320861 1321508 -1
ycfD   1316024 1317145 -1
ycfF   1290403 1290762 1
ycfH   1285277 1286074 1
ycfJ   1295937 1296476 1
ycfL   1290765 1291139 1
ycfM   1291153 1291791 1
ycfN   1291772 1292596 1
ycfP   1293657 1294199 1
ycfQ   1296551 1297186 -1
ycfR   1297428 1297685 1
ycfS   1297782 1298747 -1
ycfU   1302568 1303878 1
ycfV   1303871 1304572 1
ycfW   1304572 1305816 1
ycfX   1305845 1306756 1
ycgB   1904310 1905842 1
ycgL   1911668 1912000 -1
ycgM   1910959 1911618 -1
ycgN   1910420 1910881 -1
ycgO   1899809 1901542 1
ycgQ   1898798 1899712 1
ycgR   1897268 1898002 1
ychA   1871299 1872108 -1
ychE   1842004 1842651 -1
ychF   1881818 1882909 1
ychH   1880563 1880841 -1
ychJ   1851059 1851517 1
ychK   1850043 1850948 -1
ychM   1878857 1880518 1
ychN   1868323 1868676 1
ychP   1866722 1868146 -1
yciA   1830799 1831200 1
yciB   1830099 1830638 1
yciC   1829299 1830042 1
yciE   1826407 1826913 1
yciF   1825830 1826333 1
yciG   1825558 1825740 1
yciH   1800261 1800587 -1
yciI   1832212 1832508 1
yciK   1814369 1815130 1
yciL   1815804 1816679 -1
yciM   1801515 1802684 -1
yciN   1812792 1813043 1
yciO   1816780 1817400 -1
yciR   1796542 1798524 1
yciS   1802691 1802999 -1
yciT   1798912 1799664 1
yciU   1834362 1834691 1
yciW   1793124 1794104 1
ycjE   1791719 1792018 1
ycjF   1777869 1778930 -1
ycjG   1774503 1775468 -1
ycjI   1773800 1774528 1
ycjX   1778927 1780330 -1
ydaA   1755277 1756224 1
ydaL   1752842 1753405 -1
ydaO   1747309 1748244 1
ydbH   1737153 1739789 -1
ydbL   1736631 1736954 -1
ydcF   1730470 1731270 -1
ydcG   1709827 1711482 -1
ydcI   1714895 1715818 1
ydcK   1700065 1701045 1
ydcN   1695679 1696215 -1
ydcP   1693636 1695600 -1
ydcR   1688394 1689818 -1
ydcW   1686834 1688279 -1
ydcX   1686262 1686525 -1
ydcY   1679314 1679547 -1
ydcZ   1678860 1679309 1
yddE   1667447 1668340 1
yddG   1653824 1654648 1
yddX   1645181 1645396 1
ydeA   1598902 1600092 -1
ydeD   1595829 1596731 1
ydeE   1594414 1595601 -1
ydeI   1593330 1593722 1
ydeJ   1592376 1592903 -1
ydeV   4280606 4282198 -1
ydeW   4282286 4283245 -1
ydeY   4285030 4286073 1
ydeZ   4286070 4287071 1
ydfG   1588802 1589548 -1
ydfH   1587986 1588672 -1
ydfI   1586069 1587535 1
ydfJ   1584546 1585523 1
ydfZ   1587602 1587805 -1
ydgA   1539201 1540709 -1
ydgC   1552147 1552482 1
ydgE   1560599 1560928 1
ydgF   1560250 1560612 1
ydgH   1554224 1555168 -1
ydgI   1552544 1553926 -1
ydgJ   1536306 1537421 1
ydgK   1535006 1535446 -1
ydgM   1533770 1534348 -1
ydgO   1530511 1531569 -1
ydgP   1529887 1530507 -1
ydgQ   1529192 1529884 -1
ydgR   1526450 1527955 -1
ydgT   1535535 1535750 -1
ydhA   1522316 1522645 1
ydhB   1506991 1507923 1
ydhC   1505673 1506878 -1
ydhD   1511277 1511624 1
ydhE   1501962 1503335 -1
ydhF   1515074 1515970 1
ydhH   1521107 1522228 1
ydhI   1519449 1519685 -1
ydhJ   1518586 1519482 -1
ydhL   1514784 1515023 1
ydhM   1514082 1514681 -1
ydhO   1510121 1510975 -1
ydiA   1426600 1427433 -1
ydiB   1440420 1441286 -1
ydiD   1430189 1431829 -1
ydiE   1425050 1425241 -1
ydiF   1437868 1439421 -1
ydiH   1450027 1450254 1
ydiJ   1446504 1449560 1
ydiK   1445121 1446239 -1
ydiL   1444304 1444663 -1
ydiM   1442952 1444163 -1
ydiN   1441353 1442588 -1
ydiO   1436703 1437854 -1
ydiP   1435737 1436627 1
ydiQ   1434509 1435273 -1
ydiR   1433552 1434487 -1
ydiS   1432209 1433495 -1
ydiT   1431919 1432212 -1
ydiU   1423573 1425015 1
ydiV   1422798 1423511 1
ydiY   1406311 1407069 1
ydiZ   1404703 1404993 -1
ydjA   1374940 1375491 1
ydjM   1401603 1402202 -1
ydjN   1400075 1401466 -1
yeaA   1370000 1370443 1
yeaB   1922537 1923115 1
yeaC   1370485 1370763 1
yeaD   1367474 1368358 -1
yeaG   1361828 1363762 -1
yeaH   1360419 1361705 -1
yeaJ   1358285 1359778 -1
yeaK   1357717 1358235 -1
yeaL   1357003 1357407 -1
yeaM   1356188 1356982 1
yeaN   1354903 1356087 -1
yeaO   1354437 1354784 -1
yeaQ   1353139 1353387 1
yeaR   1351406 1351768 1
yeaS   1350595 1351233 1
yeaZ   1917765 1918460 -1
yebA   1985080 1986399 -1
yebB   1992627 1993226 1
yebC   1993786 1994526 -1
yebE   1974069 1974728 -1
yebF   1974822 1975175 -1
yebG   1975243 1975533 -1
yebK   1981484 1982353 1
yebN   1932090 1932710 1
yebR   1943986 1944570 -1
yebS   1944612 1945895 1
yebU   1948575 1950014 1
yebW   1950479 1950670 1
yecA   2031686 2032351 -1
yecC   2040612 2041364 -1
yecD   1997208 1997774 1
yecE   1997771 1998589 1
yecF   2039367 2039591 1
yecG   2022854 2023282 1
yecH   2029934 2030173 -1
yecM   2001791 2002360 -1
yecN   1998642 1999037 1
yecO   1999078 1999821 1
yecP   1999818 2000789 1
yecS   2041361 2042029 -1
yedA   2072969 2073889 1
yedD   2053191 2053616 -1
yedE   2053742 2055007 1
yedF   2055004 2055237 1
yedI   2071882 2072793 -1
yedJ   2075833 2076528 -1
yedO   2042050 2043036 -1
yedP   2068949 2069764 1
yeeA   2134228 2135286 -1
yeeF   2145827 2147191 -1
yeeI   2082351 2083148 1
yeeN   4752665 4753390 -1
yeeO   2094377 2095834 -1
yeeX   2133648 2133983 -1
yeeY   2147471 2148385 -1
yeeZ   2148431 2149255 -1
yegB   2221725 2223137 1
yegD   2212491 2213843 1
yegE   2208530 2211520 1
yegH   2203325 2204905 1
yegN   2215525 2218647 1
yegO   2218648 2221728 1
yegQ   2229684 2231045 1
yegS   2234013 2234912 1
yegT   2236271 2237542 1
yegU   2237539 2238543 1
yegV   2238540 2239505 1
yegW   2239479 2240225 -1
yehE   2247906 2248187 -1
yehR   2252013 2252471 1
yehS   2253230 2253697 -1
yehT   2253744 2254463 -1
yehU   2254460 2256145 -1
yehV   2256368 2257099 1
yehW   2257247 2257978 -1
yehX   2257962 2258909 -1
yehY   2258902 2260071 -1
yehZ   2260075 2260992 -1
yeiA   2282628 2283863 1
yeiB   2289287 2290429 -1
yeiE   2300547 2301410 -1
yeiG   2291442 2292179 1
yeiH   2301531 2302580 1
yeiP   2310493 2311296 1
yeiR   2311509 2312495 1
yeiU   2312525 2313244 1
yejA   2316219 2318024 1
yejB   2318034 2319128 1
yejE   2319128 2320153 1
yejF   2320155 2321744 1
yejG   2321748 2322092 -1
yejH   2324548 2326308 1
yejK   2327474 2328481 -1
yejL   2328661 2328888 1
yejM   2328920 2330680 1
yfaE   2384928 2385182 1
yfaO   2402597 2403022 1
yfaV   2396869 2398158 -1
yfaW   2398214 2399431 -1
yfaX   2399433 2400215 -1
yfaZ   2401776 2402423 -1
yfbB   2414871 2415629 -1
yfbE   2403953 2405110 1
yfbG   2406093 2408075 1
yfbK   2421685 2423466 -1
yfbQ   2441995 2443209 1
yfbS   2443994 2445820 -1
yfbT   2445897 2446574 -1
yfbU   2446567 2447061 -1
yfcA   2492904 2493713 -1
yfcB   2495662 2496594 -1
yfcC   2451580 2453100 1
yfcE   2459019 2459570 -1
yfcF   2459626 2460270 -1
yfcG   2460413 2461060 1
yfcH   2461186 2462079 1
yfcL   2492048 2492323 -1
yfcM   2492356 2492904 -1
yfcN   2496760 2497311 1
yfcX   2498105 2500252 -1
yfcY   2500252 2501562 -1
yfcZ   2501740 2502024 -1
yfdC   2504807 2505748 1
yfdH   616437 617363 -1
yfdZ   2516005 2517243 -1
yfeA   2526558 2528747 -1
yfeC   2529353 2529715 1
yfeD   2529717 2530109 1
yfeH   2537786 2538784 1
yfeJ   2549810 2550529 1
yfeK   2550588 2550968 1
yfeL   2550981 2551520 1
yfeN   2535947 2536708 1
yfeR   2536770 2537696 -1
yfeZ   2559259 2559708 -1
yffB   2597334 2597690 1
yffH   2587089 2587664 -1
yfgA   2657401 2658405 -1
yfgB   2658697 2659863 -1
yfgD   2609474 2609833 1
yfgE   2609860 2610585 -1
yfgJ   2651147 2651368 -1
yfgL   2653048 2654226 -1
yfgM   2654237 2654857 -1
yfhA   2704074 2705411 -1
yfhB   2714568 2715203 -1
yfhC   2713992 2714543 -1
yfhD   2712397 2713941 1
yfhF   2680771 2681094 -1
yfhG   2705408 2706172 -1
yfhH   2717588 2718436 1
yfhJ   2677648 2677848 -1
yfhK   2706174 2707616 -1
yfhL   2721690 2721950 1
yfhP   2682931 2683425 -1
yfiA   2807668 2808006 1
yfiC   2782035 2782772 -1
yfiD   2785906 2786289 -1
yfiE   2784255 2785154 -1
yfiF   2787413 2788450 -1
yfiH   2804819 2805550 -1
yfiK   2785257 2785844 1
yfiM   2794055 2794378 1
yfiN   2813496 2814716 1
yfiO   2806659 2807396 1
yfiP   2789146 2789826 1
yfiQ   2789880 2792540 1
yfiR   2812985 2813503 1
yfjB   2822300 2823178 1
yfjD   2819585 2820826 1
yfjF   2825578 2825868 -1
yfjG   2825858 2826334 -1
ygaA   2983365 2984885 -1
ygaC   2948809 2949159 -1
ygaD   2976000 2976497 -1
ygaE   2944452 2945129 1
ygaF   2938844 2940112 1
ygaM   2949309 2949647 1
ygaP   2946350 2946877 1
ygaU   2945151 2945600 -1
ygbA   3005842 3006186 -1
ygbD   2986507 2987640 1
ygbE   3071976 3072332 -1
ygbF   3078244 3078540 -1
ygbI   3061824 3062588 1
ygbJ   3060704 3061627 -1
ygbK   3059448 3060710 -1
ygbL   3058813 3059451 -1
ygbM   3058032 3058808 -1
ygbO   3069220 3070269 -1
ygbQ   3071474 3071785 -1
ygcA   3105166 3106461 -1
ygcB   3084040 3086703 -1
ygcF   3096557 3097228 -1
ygcH   3079454 3080104 -1
ygcY   3111900 3113240 -1
ygdB   3156404 3156811 -1
ygdD   3133858 3134253 -1
ygdE   3132765 3133865 -1
ygdH   3118842 3120206 1
ygdI   3135536 3135763 -1
ygdK   3137161 3137604 1
ygdL   3138843 3139649 -1
ygdP   3162168 3162698 -1
ygdQ   3164258 3164971 1
ygdR   3165141 3165359 1
ygeA   3174982 3175689 -1
ygeD   3166677 3167879 -1
ygfA   3222350 3222898 1
ygfB   3220982 3221566 -1
ygfE   3221727 3222056 1
ygfX   3206008 3206421 -1
ygfY   3206402 3206668 -1
ygfZ   3206918 3207898 1
yggA   3227589 3228224 -1
yggB   3228424 3229284 -1
yggE   3226749 3227495 -1
yggG   3238660 3239418 1
yggH   3267811 3268530 -1
yggJ   3256140 3256919 1
yggL   3267485 3267811 -1
yggM   3264341 3265348 -1
yggN   3266716 3267435 -1
yggR   3259946 3260926 -1
yggS   3260944 3261648 1
yggT   3261667 3262233 1
yggU   3262230 3262520 1
yggV   3262528 3263121 1
yggW   3263114 3264250 1
yggX   3269765 3270040 1
yghA   3318580 3319464 1
yghB   3322322 3322981 1
yghJ   3080843 3081901 -1
yghU   3304430 3305296 1
yghW   3313952 3314239 -1
ygiB   3350255 3350926 1
ygiC   3350932 3352095 1
ygiD   3352157 3352987 -1
ygiE   3353086 3353859 1
ygiF   3367001 3368302 -1
ygiH   3371952 3372563 1
ygiK   3333115 3334422 1
ygiM   3368544 3369158 1
ygiN   3343523 3343837 1
ygiR   3328938 3331109 -1
ygiW   3340254 3340646 -1
ygiX   3340798 3341457 1
ygiY   3341454 3342803 1
ygjO   3388354 3389490 -1
ygjP   3389576 3390073 1
ygjQ   3390225 3390917 1
ygjR   3391006 3392004 1
ygjT   3392277 3393245 1
ygjU   3393500 3394744 1
yhaH   3399608 3399973 1
yhaJ   3400012 3400908 -1
yhaK   3401013 3401714 1
yhaL   3401738 3401902 1
yhaN   3402015 3403325 -1
yhaO   3403351 3404682 -1
yhbC   3457843 3458265 -1
yhbG   3483637 3484362 1
yhbH   3485866 3486153 1
yhbJ   3486808 3487662 1
yhbL   3489612 3490265 -1
yhbN   3483076 3483630 1
yhbO   3437752 3438270 1
yhbP   3438250 3438693 -1
yhbQ   3438731 3439048 1
yhbS   3439035 3439538 -1
yhbT   3439532 3440056 -1
yhbU   3440273 3441268 1
yhbV   3441259 3442155 1
yhbW   3442333 3443340 1
yhbY   3467442 3467774 1
yhbZ   3470219 3471391 -1
yhcB   3514856 3515260 1
yhcC   3492922 3493851 -1
yhcG   3500618 3501721 1
yhcH   3504441 3504908 -1
yhcK   3509147 3509938 -1
yhcM   3513545 3514669 -1
yhcN   3528863 3529126 1
yhcO   3529556 3529828 -1
yhcP   3530000 3531967 -1
yhcQ   3531973 3532905 -1
yhcR   3532913 3533116 -1
yhcS   3533298 3534227 1
yhdA   3544867 3546807 -1
yhdE   3541306 3541899 -1
yhdG   3555271 3556236 1
yhdH   3547011 3547985 1
yhdJ   3556644 3557528 1
yhdN   3582401 3582769 -1
yhdP   3535940 3539740 -1
yhdT   3552034 3552276 1
yhdU   3557611 3557775 1
yhdV   3565622 3565843 1
yheL   3602835 3603122 -1
yheM   3603130 3603486 -1
yheN   3603486 3603872 -1
yheO   3603872 3604594 -1
yheR   3609016 3609567 -1
yheS   3609833 3611740 1
yheT   3612635 3613702 1
yheU   3613710 3613916 1
yheV   3607000 3607200 -1
yhfA   3614933 3615337 -1
yhfC   3622071 3623252 1
yhfG   3620946 3621113 -1
yhfK   3616326 3618413 1
yhfL   3635932 3636102 1
yhgE   3654477 3656186 -1
yhgF   3661126 3663453 1
yhgG   3666467 3666703 1
yhgH   3668696 3669379 1
yhgI   3669438 3670013 1
yhgN   3709861 3710241 1
yhhA   3722330 3722746 1
yhhF   3740347 3740943 1
yhhJ   3751834 3752958 -1
yhhK   3733924 3734307 1
yhhL   3740930 3741202 1
yhhM   3741224 3741595 -1
yhhN   3741737 3742363 1
yhhP   3746509 3746754 -1
yhhQ   3746924 3747589 1
yhhS   3748223 3749482 -1
yhhT   3749572 3750621 1
yhhV   3728301 3728528 -1
yhhW   3713292 3713987 -1
yhhX   3714111 3715148 -1
yhhY   3715617 3716105 1
yhiH   3752958 3755648 -1
yhiI   3755696 3756763 -1
yhiN   3757069 3758265 -1
yhiP   3761614 3763083 1
yhiQ   3763175 3763933 -1
yhiR   3767646 3768488 1
yhjB   3779468 3780070 -1
yhjC   3780701 3781600 1
yhjD   3781673 3782701 1
yhjE   3783052 3784374 1
yhjG   3784414 3786474 -1
yhjH   3786584 3787351 -1
yhjJ   3788563 3790050 -1
yhjK   3791714 3793687 -1
yhjL   3793894 3797436 -1
yhjN   3798531 3800831 -1
yhjO   3800842 3803466 -1
yhjQ   3803463 3804215 -1
yhjR   3804216 3804419 -1
yhjS   3804664 3806235 1
yhjT   3806232 3806423 1
yhjU   3806420 3808099 1
yhjV   3808931 3810229 1
yhjW   3820576 3822267 -1
yhjY   3828491 3829195 -1
yiaB   3844385 3844738 -1
yiaC   3829911 3830351 1
yiaD   3832806 3833468 1
yiaE   3833687 3834661 1
yiaF   3834711 3835421 -1
yiaG   3835860 3836150 1
yiaH   3843367 3844362 1
yiaJ   3854609 3855409 -1
yiaK   3855639 3856637 1
yiaL   3856649 3857113 1
yiaM   3858208 3858681 1
yiaN   3858684 3859961 1
yiaO   3859973 3860959 1
yibD   3901354 3902388 -1
yibF   3874183 3874791 -1
yibK   3889591 3890064 1
yibL   3879649 3880011 1
yibN   3896885 3897316 -1
yibP   3899118 3900401 1
