thrL   189 254 cw
insA   1976963 1977238 ccw
uspC   1977776 1978204 cw
otsA   1978211 1979635 ccw
otsB   1979610 1980410 ccw
araH   1980577 1981563 ccw
araG   1981578 1983092 ccw
araF   1983162 1984151 ccw
ftnB   1984948 1985451 cw
yecJ   1985530 1985781 ccw
azuC   1985896 1985982 ccw
yecR   1986245 1986568 cw
ftnA   1986739 1987236 cw
yecH   1987274 1987513 ccw
tyrP   1987704 1988915 cw
yecA   1988977 1989642 ccw
pgsA   1990292 1990840 ccw
uvrC   1990897 1992729 ccw
uvrY   1992726 1993382 ccw
yecF   1993841 1994065 cw
sdiA   1994133 1994855 ccw
yecC   1995085 1995837 ccw
yecS   1995834 1996502 ccw
dcyD   1996517 1997503 ccw
fliY   1997608 1998408 ccw
fliZ   1998496 1999047 ccw
fliA   1999093 1999812 ccw
fliC   2000133 2001629 ccw
fliD   2001895 2003301 cw
fliS   2003326 2003736 cw
fliT   2003736 2004101 cw
amyA   2004179 2005666 cw
yedD   2005700 2006113 ccw
yedE   2006300 2007505 cw
yedF   2007502 2007735 cw
yedK   2007844 2008512 cw
yedL   2008623 2009102 cw
yedN   2009246 2010374 ccw
intG   2010525 2010686 cw
fliE   2010723 2011037 ccw
fliF   2011252 2012910 cw
fliG   2012903 2013898 cw
fliH   2013891 2014577 cw
fliI   2014577 2015950 cw
fliJ   2015969 2016412 cw
fliK   2016409 2017536 cw
fliL   2017641 2018105 cw
fliM   2018110 2019114 cw
fliN   2019111 2019524 cw
fliO   2019527 2019892 cw
fliP   2019892 2020629 cw
fliQ   2020639 2020908 cw
fliR   2020916 2021701 cw
rcsA   2021991 2022614 cw
dsrB   2022658 2022846 ccw
yodD   2023009 2023236 cw
yedP   2023534 2024349 cw
yedQ   2024346 2026040 ccw
yodC   2026211 2026393 ccw
yedI   2026472 2027389 ccw
yedA   2027562 2028482 cw
vsr    2028471 2028941 ccw
dcm    2028922 2030340 ccw
yedJ   2030407 2031102 ccw
yedR   2031142 2031507 ccw
yedS   2032074 2033266 cw
hchA   2033858 2034709 cw
yedV   2034817 2036175 ccw
yedW   2036175 2036846 ccw
hiuH   2036979 2037392 cw
yedY   2037501 2038505 cw
yedZ   2038506 2039141 cw
zinT   2039398 2040048 cw
yodB   2040391 2040921 cw
mtfA   2041674 2042471 cw
yeeJ   2042961 2050037 cw
yeeL   2050299 2051351 ccw
shiA   2051666 2052982 cw
amn    2053084 2054538 cw
yeeN   2054881 2055597 cw
yeeO   2056226 2057713 ccw
cbl    2057987 2058937 ccw
nac    2059039 2059956 ccw
erfK   2060414 2061346 ccw
cobT   2061411 2062490 ccw
cobS   2062502 2063245 ccw
cobU   2063242 2063787 ccw
yeeH   2064091 2064177 ccw
insH   2064328 2065344 ccw
yoeG   2065383 2065915 ccw
yoeH   2066284 2066442 ccw
yoeA   2066658 2068497 cw
insD   2066975 2067880 ccw
insC   2067838 2068203 ccw
yeeP   2068683 2069234 cw
flu    2069562 2072681 cw
yeeR   2072802 2074334 cw
yeeS   2074331 2074777 cw
yeeT   2074840 2075061 cw
yeeU   2075135 2075503 cw
cbtA   2075592 2075966 cw
yeeW   2075963 2076130 cw
yoeD   2076572 2076700 ccw
yoeF   2076769 2076954 cw
yeeX   2077055 2077384 ccw
yeeA   2077556 2078614 ccw
sbmC   2078812 2079285 ccw
dacD   2079404 2080570 ccw
sbcB   2080779 2082206 cw
yeeD   2082249 2082476 ccw
yeeE   2082490 2083548 ccw
plaP   2083727 2085085 ccw
yoeI   2085075 2085137 ccw
yeeY   2085352 2086281 ccw
yeeZ   2086327 2087151 ccw
yoeB   2087234 2087488 ccw
yefM   2087485 2087736 ccw
hisL   2088019 2088069 cw
hisG   2088215 2089114 cw
hisD   2089120 2090424 cw
hisC   2090421 2091491 cw
hisB   2091491 2092558 cw
hisH   2092558 2093148 cw
hisA   2093148 2093885 cw
hisF   2093867 2094643 cw
hisI   2094637 2095248 cw
cld    2095344 2096324 ccw
ugd    2096470 2097636 ccw
gnd    2097885 2099291 ccw
wbbL   2099419 2101412 ccw
insH   2099918 2100934 ccw
wbbK   2101414 2102532 ccw
wbbJ   2102517 2103107 ccw
wbbI   2103088 2104080 ccw
rfc    2104083 2105249 ccw
glf    2105249 2106352 ccw
rfbX   2106360 2107607 ccw
rfbC   2107604 2108161 ccw
rfbA   2108161 2109042 ccw
rfbD   2109100 2109999 ccw
rfbB   2109999 2111084 ccw
galF   2111457 2112350 ccw
wcaM   2112525 2113919 ccw
wcaL   2113930 2115150 ccw
wcaK   2115147 2116427 ccw
wzxC   2116703 2118181 ccw
wcaJ   2118183 2119577 ccw
cpsG   2119632 2121002 ccw
cpsB   2121107 2122543 ccw
wcaI   2122546 2123769 ccw
gmm    2123766 2124245 ccw
fcl    2124248 2125213 ccw
gmd    2125216 2126337 ccw
wcaF   2126363 2126911 ccw
wcaE   2126927 2127673 ccw
wcaD   2127684 2128901 ccw
wcaC   2128876 2130093 ccw
wcaB   2130090 2130578 ccw
wcaA   2130581 2131420 ccw
wzc    2131513 2133675 ccw
wzb    2133678 2134121 ccw
wza    2134127 2135266 ccw
yegH   2135925 2137508 cw
asmA   2137782 2139635 ccw
dcd    2139657 2140238 ccw
udk    2140330 2140971 ccw
yegE   2141289 2144606 cw
alkA   2144715 2145563 ccw
yegD   2145697 2147049 cw
yegI   2147062 2149008 ccw
yegJ   2149208 2149669 cw
yegK   2149734 2150495 ccw
yegL   2150492 2151151 ccw
ibsA   2151372 2151431 ccw
ibsB   2151704 2151760 ccw
mdtA   2152039 2153286 cw
mdtB   2153286 2156408 cw
mdtC   2156409 2159486 cw
mdtD   2159487 2160902 cw
baeS   2160899 2162302 cw
baeR   2162299 2163021 cw
yegP   2163212 2163544 cw
yegQ   2163691 2165052 cw
ogrK   2165325 2165543 ccw
yegZ   2165625 2165837 ccw
yegR   2166012 2166329 ccw
yegS   2166735 2167634 cw
gatR   2167716 2169750 ccw
insE   2168259 2168558 cw
insF   2168555 2169421 cw
gatD   2169856 2170896 ccw
gatC   2170944 2172299 ccw
gatB   2172303 2172587 ccw
gatA   2172618 2173070 ccw
gatZ   2173080 2174342 ccw
gatY   2174371 2175225 ccw
fbaB   2175533 2176585 ccw
yegT   2176842 2178119 cw
yegU   2178116 2179120 cw
yegV   2179117 2180082 cw
yegW   2180056 2180802 ccw
yegX   2180854 2181672 ccw
thiD   2181737 2182537 ccw
thiM   2182534 2183322 ccw
rcnR   2183545 2183817 ccw
rcnA   2183938 2184762 cw
rcnB   2184981 2185319 cw
yehA   2185401 2186435 ccw
yehB   2186451 2188931 ccw
yehC   2188947 2189666 ccw
yehD   2189701 2190243 ccw
yehE   2190536 2190817 ccw
mrp    2191080 2192189 ccw
metG   2192321 2194354 cw
yehH   2194495 2198290 cw
yehI   2198300 2201932 cw
yehK   2201993 2202310 cw
yehL   2202617 2203705 cw
yehM   2203716 2205995 cw
yehP   2205988 2207124 cw
yehQ   2207121 2209121 cw
yehR   2209246 2209707 cw
yehS   2209747 2210217 ccw
yehT   2210264 2210983 ccw
yehU   2210980 2212665 ccw
mlrA   2212887 2213618 cw
yohO   2213678 2213785 cw
yehW   2213766 2214497 ccw
yehX   2214502 2215428 ccw
yehY   2215421 2216578 ccw
osmF   2216585 2217502 ccw
bglX   2217713 2220010 ccw
dld    2220206 2221921 cw
pbpG   2221959 2222891 ccw
yohC   2223065 2223652 ccw
yohD   2223822 2224400 cw
yohF   2224530 2225291 ccw
mdtQ   2225344 2226779 ccw
yohP   2227003 2227086 cw
dusC   2227459 2228406 ccw
yohJ   2228645 2229043 cw
yohK   2229040 2229735 cw
cdd    2229865 2230749 cw
sanA   2230899 2231618 cw
yeiS   2231621 2231860 cw
preB   2232054 2233292 cw
preA   2233286 2234521 cw
mglC   2234764 2235774 ccw
mglA   2235790 2237310 ccw
mglB   2237371 2238369 ccw
galS   2238649 2239689 ccw
yeiB   2239831 2240988 ccw
folE   2241005 2241673 ccw
yeiG   2241931 2242767 cw
cirA   2242799 2244790 ccw
lysP   2245084 2246553 ccw
yeiE   2246758 2247639 ccw
yeiH   2247738 2248787 cw
nfo    2248861 2249718 cw
yeiI   2249721 2250809 cw
nupX   2250916 2252166 ccw
rihB   2252266 2253207 ccw
yeiL   2253376 2254035 cw
psuT   2254106 2255356 ccw
psuG   2255450 2256388 ccw
psuK   2256376 2257317 ccw
fruA   2257740 2259431 ccw
fruK   2259448 2260386 ccw
fruB   2260386 2261516 ccw
setB   2261884 2263065 cw
yeiW   2263062 2263316 ccw
yeiP   2263471 2264043 cw
yeiQ   2264266 2265732 cw
yeiR   2265850 2266836 cw
lpxT   2266875 2267588 cw
spr    2268000 2268566 cw
rtn    2268747 2270303 cw
yejA   2270385 2272199 cw
yejB   2272200 2273294 cw
yejE   2273294 2274319 cw
yejF   2274321 2275910 cw
yejG   2275914 2276258 ccw
bcr    2276591 2277781 ccw
rsuA   2277809 2278504 ccw
yejH   2278653 2280413 cw
rplY   2280538 2280822 cw
yejK   2280961 2281968 ccw
yejL   2282150 2282377 cw
yejM   2282397 2284157 cw
yejO   2284411 2288201 ccw
insH   2287086 2288102 ccw
narP   2288521 2289168 cw
ccmH   2289379 2290431 ccw
ccmG   2290428 2290985 ccw
ccmF   2290982 2292925 ccw
ccmE   2292922 2293401 ccw
ccmD   2293398 2293607 ccw
ccmC   2293604 2294341 ccw
ccmB   2294383 2295045 ccw
ccmA   2295042 2295665 ccw
napC   2295678 2296280 ccw
napB   2296290 2296739 ccw
napH   2296736 2297599 ccw
napG   2297586 2298281 ccw
napA   2298288 2300774 ccw
napD   2300771 2301034 ccw
napF   2301024 2301518 ccw
yojO   2301627 2301791 cw
eco    2301926 2302414 cw
mqo    2303129 2304775 ccw
yojI   2304993 2306636 ccw
alkB   2306712 2307362 ccw
ada    2307362 2308426 ccw
apbE   2308500 2309555 ccw
ompC   2309667 2310770 ccw
rcsD   2311509 2314181 cw
rcsB   2314198 2314848 cw
rcsC   2315048 2317897 ccw
atoS   2318064 2319890 cw
atoC   2319887 2321272 cw
atoD   2321468 2322130 cw
atoA   2322130 2322780 cw
atoE   2322777 2324099 cw
atoB   2324130 2325314 cw
yfaP   2325388 2326164 ccw
yfaQ   2326169 2327818 ccw
yfaS   2327819 2332423 ccw
yfaT   2332357 2332980 ccw
yfaA   2332977 2334665 ccw
gyrA   2334814 2337441 ccw
ubiG   2337588 2338310 cw
yfaL   2338438 2342190 ccw
nrdA   2342886 2345171 cw
nrdB   2345405 2346535 cw
yfaE   2346535 2346789 cw
inaA   2346843 2347493 ccw
yfaH   2347672 2347914 cw
glpQ   2347956 2349032 ccw
glpT   2349037 2350395 ccw
glpA   2350668 2352296 cw
glpB   2352286 2353545 cw
glpC   2353542 2354732 cw
yfaD   2354925 2355824 cw
ypaA   2355837 2356022 cw
rhmA   2356063 2356866 ccw
rhmT   2356884 2358173 ccw
rhmD   2358230 2359435 ccw
rhmR   2359450 2360232 ccw
yfaY   2360452 2361654 ccw
yfaZ   2361754 2362296 ccw
nudI   2362575 2363000 cw
ais    2363039 2363641 ccw
arnB   2363949 2365088 cw
arnC   2365092 2366060 cw
arnA   2366060 2368042 cw
arnD   2368039 2368929 cw
arnT   2368929 2370581 cw
arnE   2370578 2370913 cw
arnF   2370913 2371299 cw
pmrD   2371293 2371559 ccw
menE   2371669 2373024 ccw
menC   2373021 2373983 ccw
menB   2373983 2374840 ccw
menH   2374855 2375613 ccw
menD   2375610 2377280 ccw
menF   2377369 2378664 ccw
elaB   2378743 2379048 ccw
elaA   2379103 2379564 ccw
rbn    2379629 2380546 cw
elaD   2380734 2381945 cw
yfbK   2382016 2383743 ccw
yfbL   2383881 2384852 cw
yfbM   2384955 2385458 cw
yfbN   2385731 2386447 ccw
yfbO   2386656 2387078 cw
yfbP   2387137 2387985 cw
nuoN   2388069 2389526 ccw
nuoM   2389533 2391062 ccw
nuoL   2391226 2393067 ccw
nuoK   2393064 2393366 ccw
nuoJ   2393363 2393917 ccw
nuoI   2393929 2394471 ccw
nuoH   2394486 2395463 ccw
nuoG   2395460 2398186 ccw
nuoF   2398239 2399576 ccw
nuoE   2399573 2400073 ccw
nuoC   2400076 2401866 ccw
nuoB   2401972 2402634 ccw
nuoA   2402650 2403093 ccw
lrhA   2403724 2404662 ccw
alaA   2405582 2406799 cw
yfbR   2406883 2407482 cw
yfbS   2407541 2409373 ccw
yfbT   2409460 2410110 ccw
yfbU   2410121 2410615 ccw
yfbV   2410698 2411153 ccw
ackA   2411491 2412693 cw
pta    2412768 2414912 cw
yfcC   2415102 2416622 cw
yfcD   2416655 2417197 ccw
yfcE   2417255 2417809 ccw
yfcF   2417862 2418506 ccw
yfcG   2418642 2419289 cw
folX   2419346 2419708 cw
yfcH   2419729 2420622 cw
yfcI   2420670 2421560 ccw
hisP   2421757 2422530 ccw
hisM   2422538 2423254 ccw
hisQ   2423251 2423937 ccw
hisJ   2424027 2424809 ccw
argT   2425030 2425812 ccw
ubiX   2426078 2426647 ccw
purF   2426742 2428259 ccw
cvpA   2428296 2428784 ccw
dedD   2429043 2429705 ccw
folC   2429695 2430963 ccw
accD   2431033 2431947 ccw
dedA   2432103 2432762 ccw
truA   2432845 2433657 ccw
usg    2433657 2434670 ccw
pdxB   2434736 2435872 ccw
flk    2435971 2436966 cw
yfcJ   2436963 2438141 ccw
fabB   2438406 2439626 ccw
mnmC   2439785 2441791 cw
yfcL   2441912 2442190 ccw
yfcM   2442224 2442772 ccw
yfcA   2442772 2443581 ccw
mepA   2443581 2444405 ccw
aroC   2444409 2445494 ccw
prmB   2445529 2446461 ccw
smrB   2446627 2447178 cw
yfcO   2447249 2448070 ccw
yfcP   2448072 2448611 ccw
yfcQ   2448608 2449096 ccw
yfcR   2449093 2449605 ccw
yfcS   2449605 2450357 ccw
yfcU   2450377 2453022 ccw
yfcV   2453104 2453667 ccw
sixA   2454348 2454833 ccw
fadJ   2455036 2457180 ccw
fadI   2457180 2458490 ccw
yfcZ   2458671 2458955 ccw
fadL   2459327 2460667 cw
yfdF   2461033 2462091 cw
mlaA   2462273 2463028 ccw
yfdC   2463322 2464254 cw
intS   2464566 2465723 cw
gtrA   2465876 2466238 cw
gtrB   2466235 2467155 cw
gtrS   2467152 2468483 cw
tfaS   2468836 2469126 cw
yfdK   2469098 2469538 ccw
yfdL   2469565 2470143 ccw
yfdM   2470139 2470408 ccw
yfdN   2470408 2470902 ccw
oweS   2470899 2471606 ccw
yfdP   2471625 2471987 cw
yfdQ   2472053 2472877 cw
yfdR   2473005 2473541 cw
yfdS   2473532 2473894 cw
yfdT   2473894 2474199 cw
ypdJ   2474202 2474252 cw
torI   2474331 2474531 cw
dsdC   2474715 2475650 ccw
dsdX   2475868 2477205 cw
dsdA   2477223 2478551 cw
emrY   2478659 2480197 ccw
emrK   2480197 2481360 ccw
evgA   2481776 2482390 cw
evgS   2482395 2485988 cw
yfdE   2486044 2487189 ccw
yfdV   2487263 2488207 ccw
oxc    2488277 2489971 ccw
frc    2490025 2491275 ccw
yfdX   2491788 2492423 ccw
ypdI   2492719 2492994 cw
yfdY   2493071 2493313 ccw
lpxP   2493666 2494586 cw
ypdK   2494942 2495013 cw
alaC   2495078 2496316 ccw
ypdA   2496692 2498389 cw
ypdB   2498404 2499138 cw
ypdC   2499151 2500008 cw
fryA   2500011 2502506 ccw
ypdE   2502531 2503568 ccw
ypdF   2503568 2504653 ccw
fryC   2504668 2505915 ccw
fryB   2505937 2506263 ccw
glk    2506482 2507447 ccw
yfeO   2507651 2508907 cw
ypeC   2509022 2509348 cw
mntH   2509489 2510727 ccw
nupC   2511063 2512265 cw
insL   2512352 2513464 cw
yfeA   2513664 2515853 ccw
yfeC   2516488 2516832 cw
yfeD   2516834 2517226 cw
gltX   2517278 2518693 ccw
xapR   2519614 2520498 ccw
xapB   2520750 2522006 ccw
xapA   2522066 2522899 ccw
yfeN   2523148 2523912 cw
yfeR   2523951 2524877 ccw
yfeH   2524967 2525965 cw
ypeB   2525962 2526180 ccw
ligA   2526182 2528197 ccw
zipA   2528268 2529254 ccw
cysZ   2529484 2530245 cw
cysK   2530430 2531401 cw
ptsH   2531785 2532042 cw
ptsI   2532087 2533814 cw
crr    2533855 2534364 cw
pdxK   2534407 2535258 ccw
yfeK   2535363 2535737 cw
yfeS   2535770 2536504 cw
cysM   2536693 2537604 ccw
cysA   2537738 2538835 ccw
cysW   2538825 2539700 ccw
cysU   2539700 2540533 ccw
cysP   2540533 2541549 ccw
ucpA   2541853 2542644 ccw
murR   2542773 2543630 ccw
murQ   2543794 2544690 cw
murP   2544694 2546118 cw
yfeW   2546123 2547427 cw
yfeX   2547667 2548566 ccw
yfeY   2548662 2549237 ccw
yfeZ   2549298 2549747 ccw
ypeA   2549734 2550159 ccw
amiA   2550373 2551242 cw
hemF   2551246 2552145 cw
eutR   2552151 2553203 ccw
eutK   2553249 2553749 ccw
eutL   2553762 2554421 ccw
eutC   2554431 2555318 ccw
eutB   2555339 2556700 ccw
intZ   2556879 2558087 cw
yffL   2558278 2558919 cw
yffM   2559389 2559634 cw
yffN   2559646 2560014 cw
yffO   2560132 2560548 cw
yffP   2560545 2561138 cw
yffQ   2561613 2561990 cw
yffR   2562001 2562393 cw
yffS   2562544 2563353 cw
eutA   2563502 2564905 ccw
eutH   2564902 2566128 ccw
eutG   2566345 2567532 ccw
eutJ   2567522 2568358 ccw
eutE   2568369 2569772 ccw
eutN   2569784 2570071 ccw
eutM   2570178 2570471 ccw
eutD   2570510 2571526 ccw
eutT   2571523 2572326 ccw
eutQ   2572323 2573024 ccw
eutP   2572999 2573478 ccw
eutS   2573491 2573826 ccw
maeB   2574119 2576398 ccw
talA   2576687 2577637 cw
tktB   2577657 2579660 cw
ypfG   2579755 2580798 ccw
nudK   2580924 2581499 ccw
aegA   2581567 2583546 ccw
narQ   2583752 2585452 cw
acrD   2585616 2588729 cw
ypfM   2588828 2588887 ccw
yffB   2589268 2589624 cw
dapE   2589628 2590755 cw
ypfN   2590783 2590983 cw
ypfH   2591093 2591791 ccw
tmcA   2591865 2593880 ccw
ypfJ   2593895 2594758 ccw
purC   2594926 2595639 ccw
bamC   2595852 2596886 ccw
dapA   2596903 2597781 ccw
gcvR   2597927 2598499 cw
bcp    2598499 2598969 cw
hyfA   2599222 2599839 cw
hyfB   2599839 2601857 cw
hyfC   2601868 2602815 cw
hyfD   2602832 2604271 cw
hyfE   2604283 2604933 cw
hyfF   2604938 2606518 cw
hyfG   2606508 2608175 cw
hyfH   2608185 2608730 cw
hyfI   2608727 2609485 cw
hyfJ   2609478 2609891 cw
hyfR   2609921 2611933 cw
focB   2611955 2612803 cw
yfgO   2612841 2613902 ccw
yfgC   2614115 2615578 cw
yfgD   2615599 2615958 cw
hda    2616096 2616797 ccw
uraA   2616892 2618181 ccw
upp    2618267 2618893 ccw
purM   2619218 2620255 cw
purN   2620255 2620893 cw
ppk    2621065 2623131 cw
ppx    2623136 2624677 cw
yfgF   2624716 2626959 ccw
yfgG   2627311 2627502 cw
yfgH   2627813 2628331 cw
yfgI   2628347 2628886 cw
guaA   2628979 2630556 ccw
guaB   2630625 2632091 ccw
xseA   2632253 2633623 cw
yfgJ   2633620 2633835 ccw
der    2633905 2635377 ccw
bamB   2635495 2636673 ccw
yfgM   2636684 2637304 ccw
hisS   2637322 2638596 ccw
ispG   2638707 2639825 ccw
rodZ   2639852 2640865 ccw
rlmN   2641150 2642304 ccw
ndk    2642454 2642885 ccw
pbpC   2643034 2645346 ccw
yfhM   2645347 2650308 ccw
sseA   2650515 2651360 cw
sseB   2652178 2652954 ccw
pepB   2653096 2654379 ccw
iscX   2654557 2654757 ccw
fdx    2654769 2655104 ccw
hscA   2655106 2656956 ccw
hscB   2656973 2657488 ccw
iscA   2657584 2657907 ccw
iscU   2657924 2658310 ccw
iscS   2658338 2659552 ccw
iscR   2659664 2660152 ccw
trmJ   2660604 2661344 ccw
suhB   2661463 2662266 cw
yfhR   2662411 2663265 cw
csiE   2663456 2664736 cw
hcaT   2664728 2665867 ccw
hcaR   2666027 2666917 ccw
hcaE   2667053 2668414 cw
hcaF   2668411 2668929 cw
hcaC   2668929 2669249 cw
hcaB   2669246 2670058 cw
hcaD   2670068 2671270 cw
yphA   2671367 2671789 cw
yphB   2671837 2672709 ccw
yphC   2672721 2673782 ccw
yphD   2673848 2674846 ccw
yphE   2674871 2676382 ccw
yphF   2676405 2677388 ccw
yphG   2677485 2680766 ccw
yphH   2680884 2682077 cw
glyA   2682275 2683528 ccw
hmp    2683856 2685046 cw
glnB   2685091 2685429 ccw
glrR   2685490 2686824 ccw
yfhG   2686814 2687527 ccw
glrK   2687692 2689119 ccw
purL   2689677 2693564 ccw
mltF   2693822 2695378 cw
tadA   2695375 2695878 ccw
pgpC   2695936 2696571 ccw
yfhH   2696780 2697628 cw
yfhL   2697684 2697944 cw
shoB   2698138 2698218 ccw
acpS   2698639 2699019 ccw
pdxJ   2699019 2699750 ccw
recO   2699762 2700490 ccw
era    2700502 2701407 ccw
rnc    2701404 2702084 ccw
lepB   2702356 2703330 ccw
lepA   2703346 2705145 ccw
rseC   2705343 2705822 ccw
rseB   2705819 2706775 ccw
rseA   2706775 2707425 ccw
rpoE   2707458 2708033 ccw
nadB   2708441 2710063 cw
yfiC   2710048 2710785 ccw
srmB   2710917 2712251 cw
yfiE   2712460 2713341 ccw
eamB   2713444 2714031 cw
yfiD   2714087 2714470 ccw
ung    2714775 2715464 cw
yfiF   2715512 2716549 ccw
trxC   2716756 2717175 cw
yfiP   2717244 2717942 cw
yfiQ   2717974 2720634 cw
pssA   2720748 2722103 cw
yfiM   2722149 2722472 cw
kgtP   2722469 2723767 ccw
clpB   2729621 2732194 ccw
yfiH   2732324 2733055 ccw
rluD   2733052 2734032 ccw
bamD   2734167 2734904 cw
raiA   2735175 2735516 cw
pheL   2735620 2735667 cw
pheA   2735766 2736926 cw
tyrA   2736969 2738090 ccw
aroF   2738101 2739171 ccw
yfiL   2739381 2739746 cw
yfiR   2739896 2740414 cw
yfiN   2740404 2741630 cw
yfiB   2741646 2742128 cw
rplS   2742204 2742551 ccw
trmD   2742593 2743360 ccw
rimM   2743391 2743939 ccw
rpsP   2743958 2744206 ccw
ffh    2744455 2745816 ccw
ypjD   2745983 2746774 cw
yfjD   2746795 2748081 cw
grpE   2748136 2748729 ccw
nadK   2748852 2749730 cw
recN   2749816 2751477 cw
bamE   2751626 2751967 cw
ratB   2752029 2752319 ccw
ratA   2752309 2752785 ccw
smpB   2752917 2753399 cw
intA   2754180 2755421 cw
yfjH   2755665 2756621 ccw
alpA   2756665 2756877 cw
yfjI   2757006 2758415 cw
yfjJ   2758568 2759194 cw
yfjK   2759372 2761561 ccw
yfjL   2761558 2763174 ccw
yfjM   2763534 2763797 ccw
rnlA   2763939 2765012 cw
rnlB   2765005 2765376 cw
yfjP   2765731 2766594 cw
yfjQ   2766686 2767507 cw
yfjR   2767724 2768425 cw
ypjK   2768466 2768702 cw
yfjS   2768702 2769145 cw
yfjT   2769169 2769636 cw
yfjU   2770023 2770175 ccw
yfjV   2770188 2771203 ccw
yfjW   2771339 2773042 cw
ypjI   2773566 2773837 cw
yfjX   2773940 2774398 cw
yfjY   2774407 2774889 cw
ypjJ   2774898 2775098 cw
yfjZ   2775136 2775453 cw
ypjF   2775474 2775803 cw
ypjA   2776167 2780747 ccw
pinH   2781086 2781325 ccw
ypjC   2781659 2783032 ccw
ygaQ   2784418 2786670 cw
csiD   2787006 2787983 cw
lhgO   2788003 2789271 cw
gabD   2789294 2790742 cw
gabT   2790756 2792036 cw
gabP   2792274 2793674 cw
csiR   2793695 2794357 cw
ygaU   2794358 2794807 ccw
yqaE   2794891 2795049 ccw
ygaV   2795232 2795531 cw
ygaP   2795541 2796065 cw
stpA   2796112 2796516 ccw
alaE   2797185 2797634 cw
ygaC   2797671 2798015 ccw
ygaM   2798155 2798496 cw
nrdH   2798744 2798989 cw
nrdI   2798986 2799396 cw
nrdE   2799369 2801513 cw
nrdF   2801523 2802482 cw
proV   2802836 2804038 cw
proW   2804031 2805095 cw
proX   2805153 2806145 cw
ygaY   2806337 2807514 cw
ygaZ   2807638 2808375 cw
ygaH   2808365 2808700 cw
mprA   2808791 2809321 cw
emrA   2809448 2810620 cw
emrB   2810637 2812175 cw
luxS   2812239 2812754 ccw
gshA   2812904 2814460 ccw
yqaA   2814533 2814961 ccw
yqaB   2814958 2815524 ccw
csrA   2816982 2817167 ccw
alaS   2817402 2820032 ccw
recX   2820160 2820660 ccw
recA   2820729 2821790 ccw
ygaD   2821870 2822367 ccw
mltB   2822512 2823597 ccw
srlA   2823853 2824416 cw
srlE   2824413 2825372 cw
srlB   2825383 2825754 cw
srlD   2825758 2826537 cw
gutM   2826642 2827001 cw
srlR   2827068 2827841 cw
gutQ   2827834 2828799 cw
norR   2828796 2830310 ccw
norV   2830497 2831936 cw
norW   2831933 2833066 cw
hypF   2833194 2835446 ccw
hydN   2835599 2836126 ccw
ascG   2836275 2837285 ccw
ascF   2837545 2839002 cw
ascB   2839011 2840435 cw
hycI   2840594 2841064 ccw
hycH   2841057 2841467 ccw
hycG   2841464 2842231 ccw
hycF   2842231 2842773 ccw
hycE   2842783 2844492 ccw
hycD   2844510 2845433 ccw
hycC   2845436 2847262 ccw
hycB   2847259 2847870 ccw
hycA   2847995 2848456 ccw
hypA   2848668 2849018 cw
hypB   2849022 2849894 cw
hypC   2849885 2850157 cw
hypD   2850157 2851278 cw
hypE   2851275 2852285 cw
fhlA   2852359 2854437 cw
ygbA   2854474 2854827 ccw
mutS   2855114 2857675 cw
pphB   2857781 2858437 cw
ygbI   2858488 2859255 ccw
ygbJ   2859451 2860359 cw
ygbK   2860356 2861522 cw
ygbL   2861614 2862252 cw
ygbM   2862257 2863033 cw
ygbN   2863122 2864486 cw
rpoS   2864580 2865572 ccw
nlpD   2865635 2866774 ccw
pcm    2866914 2867540 ccw
surE   2867534 2868295 ccw
truD   2868276 2869325 ccw
ispF   2869322 2869801 ccw
ispD   2869801 2870511 ccw
ftsB   2870530 2870841 ccw
ygbE   2871035 2871358 ccw
cysC   2871408 2872013 ccw
cysN   2872013 2873440 ccw
cysD   2873442 2874350 ccw
iap    2874602 2875639 cw
ygbF   2876590 2876874 ccw
ygbT   2876876 2877793 ccw
casE   2877809 2878408 ccw
casD   2878395 2879069 ccw
casC   2879072 2880163 ccw
casB   2880176 2880658 ccw
casA   2880651 2882159 ccw
ygcB   2882574 2885240 ccw
cysH   2885599 2886333 ccw
cysI   2886408 2888120 ccw
cysJ   2888120 2889919 ccw
queD   2890235 2890600 cw
ygcN   2890678 2891949 cw
ygcO   2891940 2892200 cw
ygcP   2892217 2892792 cw
ygcQ   2892940 2893800 ccw
ygcR   2893797 2894576 ccw
ygcS   2894554 2895891 ccw
ygcU   2895985 2897439 ccw
ygcW   2897509 2898294 ccw
yqcE   2898613 2899890 cw
ygcE   2899917 2901395 cw
queE   2902768 2903439 ccw
yqcG   2903578 2903718 cw
ygcG   2903732 2904604 cw
eno    2904664 2905962 ccw
pyrG   2906050 2907687 ccw
mazG   2907915 2908706 ccw
mazF   2908777 2909112 ccw
mazE   2909112 2909360 ccw
relA   2909438 2911672 ccw
rlmC   2911720 2913021 ccw
barA   2913078 2915834 cw
gudD   2916066 2917406 ccw
gudX   2917427 2918767 ccw
gudP   2918769 2920121 ccw
yqcA   2920556 2921005 ccw
truC   2921023 2921805 ccw
yqcC   2921805 2922134 ccw
syd    2922756 2923301 ccw
queF   2923369 2924217 cw
ygdH   2924329 2925693 cw
sdaC   2926250 2927539 cw
sdaB   2927597 2928964 cw
ygdG   2929076 2929831 cw
fucO   2929886 2931034 ccw
fucA   2931062 2931709 ccw
fucP   2932256 2933572 cw
